Datacenter,SqlInstance,DatabaseName,State,RecoveryModel,LastFull,TimeSince LastFull_inDays,FullBackupSize,LastT-Log,TimeSince LastT-Log_inMins,T-LogBackupSize,LastUpdated
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1088682,ONLINE,FULL,31-03-2023 20:00,5,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1088721,ONLINE,FULL,31-03-2023 20:00,5,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1088790,ONLINE,FULL,01-04-2023 20:00,4,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1088798,ONLINE,FULL,31-03-2023 20:00,5,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1088799,ONLINE,FULL,31-03-2023 20:00,5,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1088800,ONLINE,FULL,31-03-2023 20:00,5,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1088797,ONLINE,FULL,31-03-2023 20:00,5,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1088812,ONLINE,FULL,01-04-2023 20:14,4,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1088815,ONLINE,FULL,01-04-2023 20:14,4,0,05-04-2023 18:00,3,0,05-04-2023 03:03
HKDC,P062ESCAPPS01.apcust.local\STATCOLLECTOR,CaseAudit_P-1088866,ONLINE,FULL,01-04-2023 20:14,4,0,05-04-2023 18:00,3,0,05-04-2023 03:03
